2018-11-25 18:38:06.312066
time[sec],mass[kg],len_CG[m],Iyz[kg*m^2],Ix[kg*m^2],pos_x[m],pos_y[m],pos_z[m],vel_x[m/s],vel_y[m/s],vel_z[m/s],roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
5.158,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.975684139905496,-34.84912585413349,135.46349052088365,-5.661887157939399,-9.11192394334691,16.185507518889835,0.0,0.13238272640352933,0.08544027955336635,-0.5169042129147058,-0.18351372767583643,-0.7320385461297164,0.4040458897851592
5.159,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.98134600254229,-34.858237681888625,135.4796710806648,-5.661836092720115,-9.11176900178674,16.175597367625098,0.0,0.13248860920029598,0.0854826069135687,-0.5168635740083333,-0.18346487638224232,-0.7320555084350219,0.40408932869751923
5.16,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.987007814136625,-34.86734935488417,135.49584173030416,-5.661785011068102,-9.11161409745731,16.165687382213672,0.0,0.13259452382488918,0.08552490780506548,-0.5168228970696864,-0.18341599167811226,-0.7320724849787593,0.4041327902406742
5.1610000000000005,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.99266957467293,-34.87646087316189,135.5120024699655,-5.661733913042819,-9.111459230345838,16.15577756256962,0.0,0.13270047023699277,0.08556718229678477,-0.5167821820801748,-0.1833670735627886,-0.732089475764092,0.40417627440013565
5.162,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.9983312841357,-34.88557223676357,135.52815329981252,-5.6616827987037475,-9.111304400439398,16.14586790860707,0.0,0.13280644839642983,0.08560943045779669,-0.5167414290212383,-0.1833181220356172,-0.7321064807941468,0.404219781161412
5.163,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.003992942509495,-34.89468344573107,135.5442942200088,-5.661631668110384,-9.11114960772491,16.135958420240165,0.0,0.13291245826316295,0.08565165235731353,-0.5167006378743472,-0.18326913709594722,-0.7321235000720143,0.40426331051000847
5.164,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.00965454977892,-34.90379450010622,135.56042523071784,-5.661580521322245,-9.11099485218915,16.126049097383152,0.0,0.13301849979729372,0.08569384806468949,-0.516659808621002,-0.1832201187431315,-0.732140533600749,0.40430686243142716
5.165,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.015316105928655,-34.91290539993094,135.576546332103,-5.661529358398863,-9.110840133818742,16.11613993995029,0.0,0.13312457295906321,0.085736017649421,-0.5166189412427338,-0.18317106697652616,-0.7321575813833688,0.40435043691116695
5.166,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.02097761094343,-34.92201614524713,135.59265752432754,-5.66147817939979,-9.11068545260017,16.106230947855924,0.0,0.13323067770885158,0.08577816118114641,-0.516578035721104,-0.18312198179549094,-0.7321746434228553,0.4043940339347237
5.167,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.026639064808037,-34.93112673609673,135.60875880755466,-5.661426984384593,-9.110530808519766,16.096322121014445,0.0,0.13333681400717817,0.08582027872964614,-0.5165370920377044,-0.183072863199389,-0.7321917197221538,0.40443765348758975
5.168,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.03230046750733,-34.94023717252173,135.62485018194744,-5.6613757734128605,-9.110376201563707,16.08641345934029,0.0,0.1334429818147019,0.08586237036484276,-0.5164961101741573,-0.18302371118758695,-0.7322088102841734,0.4044812955552547
5.1690000000000005,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.037961819026222,-34.94934745456413,135.64093164766882,-5.661324546544196,-9.110221631718034,16.076504962747958,0.0,0.1335491810922207,0.08590443615680085,-0.5164550901121153,-0.1829745257594549,-0.7322259151117868,0.40452496012320477
5.17,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.04362311934968,-34.95845758226597,135.65700320488168,-5.661273303838223,-9.110067098968633,16.066596631152013,0.0,0.13365541180067161,0.085946476175727,-0.5164140318332614,-0.18292530691436643,-0.7322430342078302,0.40456864717692287
5.171,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.049284368462736,-34.96756755566932,135.67306485374874,-5.66122204535458,-9.109912603301245,16.05668846446705,0.0,0.1337616739011314,0.08598849049196997,-0.5163729353193091,-0.18287605465169854,-0.7322601675751039,0.4046123567018891
5.172,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.05494556635048,-34.97667737481625,135.6891165944327,-5.661170771152926,-9.109758144701463,16.04678046260775,0.0,0.13386796735481557,0.08603047917602044,-0.516331800552002,-0.18282676897083183,-0.7322773152163714,0.40465608868358005
5.173,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.060606712998062,-34.985787039748914,135.70515842709614,-5.6611194812929355,-9.109603723154729,16.03687262548881,0.0,0.13397429212307935,0.08607244229851133,-0.5162906275131144,-0.18277744987115024,-0.7322944771343602,0.40469984310746937
5.174,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.066267808390695,-34.994896550509445,135.72119035190147,-5.661068175834304,-9.109449338646343,16.026964953025022,0.0,0.13408064816741688,0.08611437993021744,-0.5162494161844509,-0.1827280973520412,-0.7323116533317613,0.4047436199590274
5.175,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.071928852513636,-35.00400590714002,135.73721236901105,-5.661016854836742,-9.10929499116145,16.017057445131215,0.0,0.1341870354494616,0.08615629214205568,-0.5162081665478465,-0.18267871141289577,-0.7323288438112295,0.40478741922372136
5.176,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.07758984535223,-35.013115109682865,135.7532244785871,-5.660965518359977,-9.109140680685053,16.007150101722264,0.0,0.13429345393098643,0.08619817900508514,-0.5161668785851666,-0.18262929205310818,-0.7323460485753833,0.40483124088701533
5.1770000000000005,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.083250786891853,-35.022224158180215,135.76922668079183,-5.660914166463759,-9.108986407202007,15.997242922713113,0.0,0.13439990357390336,0.08624004059050683,-0.516125552278307,-0.18257983927207644,-0.7323632676268047,0.40487508493437024
5.178,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.088911677117952,-35.031333052674334,135.78521897578722,-5.660862799207851,-9.108832170697015,15.987335908018766,0.0,0.13450638434026352,0.08628187696966381,-0.5160841876091938,-0.18253035306920193,-0.7323805009680395,0.4049189513512437
5.179,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.094572516016044,-35.04044179320753,135.80120136373523,-5.660811416652035,-9.108677971154636,15.977429057554255,0.0,0.1346128961922577,0.08632368821404136,-0.5160427845597837,-0.18248083344388935,-0.7323977486015971,0.4049628401230904
